screen_id,ui_label,field_name,business_meaning,value_type,unit,format_rule,time_window,event_date_basis,aggregation_level,filters_params,freshness_display,acceptable_range,sentinel_values,empty_state_behavior,error_state_behavior,sort_group_rules,a11y_notes,owner_pm_notes,source_candidate,observed_in,open_questions
home,Merchant Name,UNKNOWN,Business name displayed in header,string,text,title case,point-in-time,UNKNOWN,merchant,merchantId,no,1-100 chars,null shows "Loading...",Loading screen,Error in header,NONE,NONE,User identity display,UNKNOWN,src/pages/HomePage.tsx:89,How is merchant name validated?
home,ISO Name,UNKNOWN,Independent sales organization name,string,text,title case,point-in-time,UNKNOWN,merchant,merchantId,no,1-100 chars,null shows "Loading...",Loading screen,Error in header,NONE,NONE,Partner identification,UNKNOWN,src/pages/HomePage.tsx:90,What's relationship between merchant and ISO?
home,Business Category,UNKNOWN,Merchant business category,string,text,sentence case,point-in-time,UNKNOWN,merchant,merchantId,no,1-50 chars,null shows generic text,Generic explanation,Error message,NONE,NONE,Context for updates,UNKNOWN,src/pages/HomePage.tsx:101,How granular are business categories?
home,Radius,UNKNOWN,Mile radius for competitive analysis,number,miles,integer,point-in-time,UNKNOWN,merchant,merchantId,no,1-50 miles,null shows "nearby",Generic explanation,Error message,NONE,NONE,Geographic scope,UNKNOWN,src/pages/HomePage.tsx:102,How is optimal radius determined?
home,Address,UNKNOWN,Merchant business address,string,text,title case,point-in-time,UNKNOWN,merchant,merchantId,no,1-200 chars,null shows "your area",Generic explanation,Error message,NONE,NONE,Geographic reference,UNKNOWN,src/pages/HomePage.tsx:102,Full address or just city/state?
home,Update Title,UNKNOWN,Competitive update headline,string,text,title case,point-in-time,UNKNOWN,update,merchantId,no,1-200 chars,null hides card,No cards shown,Error message,publish=true first,screen reader alt,Alert importance,UNKNOWN,src/pages/CompetitiveNewsfeedPage.tsx:140,How are titles generated?
home,Update Text,UNKNOWN,Competitive update description,string,text,sentence case,point-in-time,UNKNOWN,update,merchantId,no,1-500 chars,null hides card,No cards shown,Error message,publish=true first,screen reader desc,Update explanation,UNKNOWN,src/pages/CompetitiveNewsfeedPage.tsx:147,Max character limits?
home,Update ID,UNKNOWN,Unique identifier for update,string,text,uppercase,point-in-time,UNKNOWN,update,merchantId,no,alphanumeric,null shows "UNKNOWN",No ID shown,Error message,NONE,NONE,Tracking reference,UNKNOWN,src/pages/CompetitiveNewsfeedPage.tsx:141,Is this customer-facing or internal?
home,Characterization,UNKNOWN,Update sentiment classification,string,enum,lowercase,point-in-time,UNKNOWN,update,merchantId,no,positive/negative/neutral,null defaults neutral,Neutral styling,Error message,NONE,NONE,Visual categorization,UNKNOWN,src/pages/CompetitiveNewsfeedPage.tsx:132,Are there other characterizations?
home,Liked,UNKNOWN,User like status for update,boolean,boolean,true/false,point-in-time,posted_date,user-update,"merchantId, updateId",no,true/false,false,Unlike state,Disabled button,NONE,keyboard accessible,User engagement,UNKNOWN,src/pages/CompetitiveNewsfeedPage.tsx:149,How does liking affect future updates?
areaReach,Reach (30d),UNKNOWN,Count of unique verified shoppers,string,count,comma-separated,last_30d,UNKNOWN,area,"merchantId, areaId",no,0-1M+,"0" shows empty state,"No reach data",Error message,NONE,NONE,Core audience metric,UNKNOWN,src/AreaAudienceScreen.tsx:38-39,What defines a "verified" shopper?
areaReach,Impressions (30d),UNKNOWN,Total number of ad impressions,string,count,comma-separated,last_30d,UNKNOWN,area,"merchantId, areaId",no,0-10M+,"0" shows empty state,"No impression data",Error message,NONE,NONE,Exposure measurement,UNKNOWN,src/AreaAudienceScreen.tsx:46-47,How are impressions tracked?
areaReach,Local Market Share (30d),UNKNOWN,Percentage of local vs total spend,number,percentage,integer,last_30d,UNKNOWN,area,"merchantId, areaId",no,0-100%,0 shows empty bar,"No spend data",Error message,NONE,NONE,Market dominance,UNKNOWN,src/AreaAudienceScreen.tsx:58-70,How is "local" defined geographically?
areaReach,Local Spend Percentage,UNKNOWN,Local spend portion of total,number,percentage,integer,last_30d,UNKNOWN,area,"merchantId, areaId",no,0-100%,0,Shows 0%,Error message,NONE,NONE,Primary market share,UNKNOWN,src/AreaAudienceScreen.tsx:65,Spending at this merchant or all local?
areaReach,All Other Spend Percentage,UNKNOWN,Non-local spend portion of total,number,percentage,integer,last_30d,UNKNOWN,area,"merchantId, areaId",no,0-100%,calculated field,Shows calculated,Error message,NONE,NONE,Competitive comparison,UNKNOWN,src/AreaAudienceScreen.tsx:66,What constitutes "other" spending?
neighborhoodReach,Spend (30d),UNKNOWN,Total local spending in neighborhood,string,USD,currency no decimals,last_30d,UNKNOWN,neighborhood,"merchantId, zoneId",no,$0-$10M+,"$0","No spend data",Error message,NONE,NONE,Revenue opportunity,UNKNOWN,src/YourZoneScreen.tsx:58-59,Is this spending at the merchant or neighborhood total?
neighborhoodReach,Avg # transactions / shopper (30d),UNKNOWN,Average transaction count per shopper,string,count,decimal to 1 place,last_30d,UNKNOWN,shopper,"merchantId, zoneId",no,0-50+,"0.0","No transaction data",Error message,NONE,NONE,Customer frequency,UNKNOWN,src/YourZoneScreen.tsx:77-78,Per shopper at this merchant or overall?
neighborhoodReach,Avg spend / shopper (30d),UNKNOWN,Average monetary spend per shopper,string,USD,currency no decimals,last_30d,UNKNOWN,shopper,"merchantId, zoneId",no,$0-$1000+,"$0","No spend data",Error message,NONE,NONE,Customer value,UNKNOWN,src/YourZoneScreen.tsx:82-83,Spend at merchant or total spend?
neighborhoodReach,Priority Audience Uplift,UNKNOWN,Percentage uplift vs non-priority,string,percentage,integer,last_30d,UNKNOWN,shopper-segment,"merchantId, zoneId",no,-50% to +500%,"0%","No comparison data",Error message,NONE,NONE,Segment performance,UNKNOWN,src/YourZoneScreen.tsx:106,What defines "priority audience"?
neighborhoodReach,Priority Audience Value,UNKNOWN,Average spend for priority audience,number,USD,currency no decimals,last_30d,UNKNOWN,shopper-segment,"merchantId, zoneId",no,$0-$1000+,0,Shows $0,Error message,NONE,NONE,Target segment value,UNKNOWN,src/YourZoneScreen.tsx:28,How is priority audience identified?
neighborhoodReach,Average Shopper Value,UNKNOWN,Average spend for regular shoppers,number,USD,currency no decimals,last_30d,UNKNOWN,shopper-segment,"merchantId, zoneId",no,$0-$1000+,0,Shows $0,Error message,NONE,NONE,Baseline comparison,UNKNOWN,src/YourZoneScreen.tsx:33,What's the comparison methodology?
currentShoppers,Shoppers,UNKNOWN,Count of unique current shoppers,string,count,comma-separated,last_30d,UNKNOWN,merchant,merchantId,no,0-10000+,"0","No shoppers",Error message,NONE,NONE,Current customer count,UNKNOWN,src/YourShoppersScreen.tsx:100-104,How are "current" shoppers defined?
currentShoppers,Spend,UNKNOWN,Total spending by current shoppers,string,USD,currency no decimals,last_30d,UNKNOWN,merchant,merchantId,no,$0-$1M+,"$0","No spend",Error message,NONE,NONE,Current customer value,UNKNOWN,src/YourShoppersScreen.tsx:106-110,Spend at this merchant only?
currentShoppers,Transactions,UNKNOWN,Total transaction count,string,count,comma-separated,last_30d,UNKNOWN,merchant,merchantId,no,0-50000+,"0","No transactions",Error message,NONE,NONE,Activity volume,UNKNOWN,src/YourShoppersScreen.tsx:112-116,All transactions or just successful?
currentShoppers,Recognize Regulars,UNKNOWN,Campaign count for regular recognition,number,count,integer,last_30d,UNKNOWN,campaign,merchantId,no,0-1000+,0,"No campaigns",Error message,NONE,NONE,Loyalty engagement,UNKNOWN,src/YourShoppersScreen.tsx:139-143,What triggers this campaign?
currentShoppers,Boost Avg Spend,UNKNOWN,Campaign count for spend increase,number,count,integer,last_30d,UNKNOWN,campaign,merchantId,no,0-1000+,0,"No campaigns",Error message,NONE,NONE,Upselling efforts,UNKNOWN,src/YourShoppersScreen.tsx:144-148,How is target spend determined?
currentShoppers,Boost Frequency,UNKNOWN,Campaign count for visit increase,number,count,integer,last_30d,UNKNOWN,campaign,merchantId,no,0-1000+,0,"No campaigns",Error message,NONE,NONE,Retention efforts,UNKNOWN,src/YourShoppersScreen.tsx:149-153,What's the frequency target?
