ID,Name,Available Sources,Data Type,Description,Match Sources,Status
DP_MDB_0001,Internet Banking Enrolled (FI),Main DB > banks > ib_enrolled_count,integer,Number of consumers enrolled in internet banking for the FI (hardcoded as of 9/17/2025).,fiid,Available in Main DB
DP_MDB_0002,,,,,,
DP_MDB_0003,,,,,,
DP_MDB_0004,,,,,,
DP_MDB_0005,,,,,,
DP_MDB_0006,,,,,,
DP_MDB_0007,,,,,,
DP_MDB_0008,,,,,,
DP_MDB_0009,,,,,,
DP_MDB_0010,,,,,,
DP_MDB_0011,,,,,,
DP_MDB_0012,,,,,,
DP_MDB_0013,,,,,,
DP_MDB_0014,,,,,,
DP_MDB_0015,,,,,,
DP_MDB_0016,,,,,,
DP_MDB_0017,,,,,,
DP_MDB_0018,,,,,,
DP_MDB_0019,,,,,,
DP_MDB_0020,,,,,,
DP_MDB_0021,,,,,,
DP_MDB_0022,,,,,,
DP_MDB_0023,,,,,,
DP_MDB_0024,,,,,,
DP_MDB_0025,,,,,,
