ID,Name,Available Sources,Data Type,Description,Match Sources,Status
DP_RMV_0001,Total Transaction Count All Time,"Redshift > business_entity_commercial_district_fi_summary > count_all_time
Redshift > business_entity_fi_summary > count_all_time
Redshift > business_entity_summary > count_all_time
Redshift > consumer_business_entity_summary > count_all_time
Redshift > consumer_commercial_district_fi_summary > count_all_time
Redshift > consumer_commercial_district_summary > count_all_time
Redshift > commercial_district_fi_summary > count_all_time
Redshift > category_0_commercial_district_fi_summary > count_all_time
Redshift > consumer_summary > count_all_time
Redshift > fi_summary > count_all_time
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_all_time
Redshift > raw_descriptor_fi_summary > count_all_time",integer,"Total number of transactions for all time. Available across 12 different aggregation levels including business entity, commercial district, FI, consumer, category, and raw descriptor combinations.","Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0002,Total Spend Amount All Time,"Redshift > business_entity_commercial_district_fi_summary > total_spend_all_time
Redshift > business_entity_fi_summary > total_spend_all_time
Redshift > business_entity_summary > total_spend_all_time
Redshift > consumer_business_entity_summary > total_spend_all_time
Redshift > consumer_commercial_district_fi_summary > total_spend_all_time
Redshift > consumer_commercial_district_summary > total_spend_all_time
Redshift > commercial_district_fi_summary > total_spend_all_time
Redshift > category_0_commercial_district_fi_summary > total_spend_all_time
Redshift > consumer_summary > total_spend_all_time
Redshift > fi_summary > total_spend_all_time
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_all_time
Redshift > raw_descriptor_fi_summary > total_spend_all_time",decimal,"Total dollar amount spent for all time. Available across 12 different aggregation levels including business entity, commercial district, FI, consumer, category, and raw descriptor combinations.","Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0003,Average Spend Amount All Time,"Redshift > business_entity_commercial_district_fi_summary > average_spend_all_time
Redshift > business_entity_fi_summary > average_spend_all_time
Redshift > business_entity_summary > average_spend_all_time
Redshift > consumer_business_entity_summary > average_spend_all_time
Redshift > consumer_commercial_district_fi_summary > average_spend_all_time
Redshift > consumer_commercial_district_summary > average_spend_all_time
Redshift > commercial_district_fi_summary > average_spend_all_time
Redshift > category_0_commercial_district_fi_summary > average_spend_all_time
Redshift > consumer_summary > average_spend_all_time
Redshift > fi_summary > average_spend_all_time
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_all_time
Redshift > raw_descriptor_fi_summary > average_spend_all_time",decimal,"Average dollar amount per transaction for all time. Available across 12 different aggregation levels including business entity, commercial district, FI, consumer, category, and raw descriptor combinations.","Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0004,Unique Consumer Count All Time,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_all_time
Redshift > business_entity_fi_summary > unique_consumers_all_time
Redshift > business_entity_summary > unique_consumers_all_time
Redshift > consumer_business_entity_summary > unique_consumers_all_time
Redshift > consumer_commercial_district_fi_summary > unique_consumers_all_time
Redshift > consumer_commercial_district_summary > unique_consumers_all_time
Redshift > commercial_district_fi_summary > unique_consumers_all_time
Redshift > category_0_commercial_district_fi_summary > unique_consumers_all_time
Redshift > fi_summary > unique_consumers_all_time
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_all_time
Redshift > raw_descriptor_fi_summary > unique_consumers_all_time",integer,Number of unique consumers for all time. Available across 11 aggregation levels (not available in consumer_summary as it would always be 1).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0005,Transaction Count Last 30 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_30_days
Redshift > business_entity_fi_summary > count_last_30_days
Redshift > business_entity_summary > count_last_30_days
Redshift > consumer_business_entity_summary > count_last_30_days
Redshift > consumer_commercial_district_fi_summary > count_last_30_days
Redshift > consumer_commercial_district_summary > count_last_30_days
Redshift > commercial_district_fi_summary > count_last_30_days
Redshift > category_0_commercial_district_fi_summary > count_last_30_days
Redshift > consumer_summary > count_last_30_days
Redshift > fi_summary > count_last_30_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_30_days
Redshift > raw_descriptor_fi_summary > count_last_30_days",integer,Number of transactions in the last 30 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0006,Total Spend Last 30 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_30_days
Redshift > business_entity_fi_summary > total_spend_last_30_days
Redshift > business_entity_summary > total_spend_last_30_days
Redshift > consumer_business_entity_summary > total_spend_last_30_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_30_days
Redshift > consumer_commercial_district_summary > total_spend_last_30_days
Redshift > commercial_district_fi_summary > total_spend_last_30_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_30_days
Redshift > consumer_summary > total_spend_last_30_days
Redshift > fi_summary > total_spend_last_30_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_30_days
Redshift > raw_descriptor_fi_summary > total_spend_last_30_days",decimal,Total spending in the last 30 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0007,Average Spend Last 30 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_30_days
Redshift > business_entity_fi_summary > average_spend_last_30_days
Redshift > business_entity_summary > average_spend_last_30_days
Redshift > consumer_business_entity_summary > average_spend_last_30_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_30_days
Redshift > consumer_commercial_district_summary > average_spend_last_30_days
Redshift > commercial_district_fi_summary > average_spend_last_30_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_30_days
Redshift > consumer_summary > average_spend_last_30_days
Redshift > fi_summary > average_spend_last_30_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_30_days
Redshift > raw_descriptor_fi_summary > average_spend_last_30_days",decimal,Average spending per transaction in the last 30 days. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0008,Unique Consumers Last 30 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_30_days
Redshift > business_entity_fi_summary > unique_consumers_last_30_days
Redshift > business_entity_summary > unique_consumers_last_30_days
Redshift > consumer_business_entity_summary > unique_consumers_last_30_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_30_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_30_days
Redshift > commercial_district_fi_summary > unique_consumers_last_30_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_30_days
Redshift > fi_summary > unique_consumers_last_30_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_30_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_30_days",integer,Number of unique consumers in the last 30 days. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0009,Transaction Count 30-60 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_30_to_60_days
Redshift > business_entity_fi_summary > count_last_30_to_60_days
Redshift > business_entity_summary > count_last_30_to_60_days
Redshift > consumer_business_entity_summary > count_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary > count_last_30_to_60_days
Redshift > consumer_commercial_district_summary > count_last_30_to_60_days
Redshift > commercial_district_fi_summary > count_last_30_to_60_days
Redshift > category_0_commercial_district_fi_summary > count_last_30_to_60_days
Redshift > consumer_summary > count_last_30_to_60_days
Redshift > fi_summary > count_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_30_to_60_days
Redshift > raw_descriptor_fi_summary > count_last_30_to_60_days",integer,Number of transactions in the 30-60 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0010,Total Spend 30-60 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_30_to_60_days
Redshift > business_entity_fi_summary > total_spend_last_30_to_60_days
Redshift > business_entity_summary > total_spend_last_30_to_60_days
Redshift > consumer_business_entity_summary > total_spend_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_30_to_60_days
Redshift > consumer_commercial_district_summary > total_spend_last_30_to_60_days
Redshift > commercial_district_fi_summary > total_spend_last_30_to_60_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_30_to_60_days
Redshift > consumer_summary > total_spend_last_30_to_60_days
Redshift > fi_summary > total_spend_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_30_to_60_days
Redshift > raw_descriptor_fi_summary > total_spend_last_30_to_60_days",decimal,Total spending in the 30-60 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0011,Average Spend 30-60 Days,"Redshift > business_entity_commercial_district_fi_summary > average_spend_last_30_to_60_days
Redshift > business_entity_fi_summary > average_spend_last_30_to_60_days
Redshift > business_entity_summary > average_spend_last_30_to_60_days
Redshift > consumer_business_entity_summary > average_spend_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary > average_spend_last_30_to_60_days
Redshift > consumer_commercial_district_summary > average_spend_last_30_to_60_days
Redshift > commercial_district_fi_summary > average_spend_last_30_to_60_days
Redshift > category_0_commercial_district_fi_summary > average_spend_last_30_to_60_days
Redshift > consumer_summary > average_spend_last_30_to_60_days
Redshift > fi_summary > average_spend_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > average_spend_last_30_to_60_days
Redshift > raw_descriptor_fi_summary > average_spend_last_30_to_60_days",decimal,Average spending per transaction in the 30-60 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0012,Unique Consumers 30-60 Days,"Redshift > business_entity_commercial_district_fi_summary > unique_consumers_last_30_to_60_days
Redshift > business_entity_fi_summary > unique_consumers_last_30_to_60_days
Redshift > business_entity_summary > unique_consumers_last_30_to_60_days
Redshift > consumer_business_entity_summary > unique_consumers_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary > unique_consumers_last_30_to_60_days
Redshift > consumer_commercial_district_summary > unique_consumers_last_30_to_60_days
Redshift > commercial_district_fi_summary > unique_consumers_last_30_to_60_days
Redshift > category_0_commercial_district_fi_summary > unique_consumers_last_30_to_60_days
Redshift > fi_summary > unique_consumers_last_30_to_60_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > unique_consumers_last_30_to_60_days
Redshift > raw_descriptor_fi_summary > unique_consumers_last_30_to_60_days",integer,Number of unique consumers in the 30-60 days ago period. Available across 11 summary materialized views (not available in consumer_summary).,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0013,Transaction Count 60-90 Days,"Redshift > business_entity_commercial_district_fi_summary > count_last_60_to_90_days
Redshift > business_entity_fi_summary > count_last_60_to_90_days
Redshift > business_entity_summary > count_last_60_to_90_days
Redshift > consumer_business_entity_summary > count_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary > count_last_60_to_90_days
Redshift > consumer_commercial_district_summary > count_last_60_to_90_days
Redshift > commercial_district_fi_summary > count_last_60_to_90_days
Redshift > category_0_commercial_district_fi_summary > count_last_60_to_90_days
Redshift > consumer_summary > count_last_60_to_90_days
Redshift > fi_summary > count_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > count_last_60_to_90_days
Redshift > raw_descriptor_fi_summary > count_last_60_to_90_days",integer,Number of transactions in the 60-90 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
DP_RMV_0014,Total Spend 60-90 Days,"Redshift > business_entity_commercial_district_fi_summary > total_spend_last_60_to_90_days
Redshift > business_entity_fi_summary > total_spend_last_60_to_90_days
Redshift > business_entity_summary > total_spend_last_60_to_90_days
Redshift > consumer_business_entity_summary > total_spend_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary > total_spend_last_60_to_90_days
Redshift > consumer_commercial_district_summary > total_spend_last_60_to_90_days
Redshift > commercial_district_fi_summary > total_spend_last_60_to_90_days
Redshift > category_0_commercial_district_fi_summary > total_spend_last_60_to_90_days
Redshift > consumer_summary > total_spend_last_60_to_90_days
Redshift > fi_summary > total_spend_last_60_to_90_days
Redshift > consumer_commercial_district_fi_summary_with_neighbors > total_spend_last_60_to_90_days
Redshift > raw_descriptor_fi_summary > total_spend_last_60_to_90_days",decimal,Total spending in the 60-90 days ago period. Available across all 12 summary materialized views with time-based metrics.,"Varies by source: business_entity_id, commercial_district_id, fiid, consumer_id, category_0, account_id, raw_descriptor",Available in Redshift
